id,key,name,text,pages,Group,platform,load,created_at,updated_at
916,general.button.edit,en,Edit,general,button,any,f,,
917,general.button.detail,en,Detail,general,button,any,f,,
918,general.button.history,en,History,general,button,any,f,,
919,general.button.delete,en,Delete,general,button,any,f,,
920,general.button.map,en,Map,general,button,any,f,,
921,general.label.sample_location,en,Sample Location,general,label,any,f,,
922,general.label.sample_date,en,Sample Date,general,label,any,f,,
923,users.validation.the_password_has_been_found_in_a_data_leak_please_choose_a_different_password,en,The password has been found in a data leak. Please choose a different password.,users,validation,any,f,,
924,users.validation.the_confirm_password_confirmation_does_not_match,en,The Confirm Password confirmation does not match.,users,validation,any,f,,
925,users.validation.the_roles_field_is_required,en,The Roles field is required.,users,validation,any,f,,
926,general.button.nearest_road,en,Nearest Road,general,button,any,f,,
927,general.download.download_csv_template,en,Download CSV Template,general,download,any,f,,
928,general.button.export_unmatched_records,en,Export Unmatched Records,general,button,any,f,,
929,general.button.import_from_csv,en,Import from CSV,general,button,any,f,,
930,users.validation.the_user_type_field_is_required,en,The User Type field is required.,users,validation,any,f,,
931,users.validation.the_service_provider_id_is_required_when_user_type_is_service_provider,en,The Service Provider ID is required when User Type is Service Provider.,users,validation,any,f,,
932,users.validation.the_help_desk_is_required_for_municipality_help_desk_role,en,The Help Desk is required for Municipality Help Desk role.,users,validation,any,f,,
933,general.label.length,en,Length (m),general,label,any,f,,
934,general.label.diameter,en,Diameter(mm),general,label,any,f,,
935,users.validation.the_help_desk_must_be_an_integer,en,The Help Desk must be an integer.,users,validation,any,f,,
936,users.validation.the_help_desk_is_required_for_service_provider_help_desk_role,en,The Help Desk is required for Service Provider Help Desk role.,users,validation,any,f,,
937,users.validation.the_status_field_is_required,en,The Status field is required.,users,validation,any,f,,
938,application.validation.cannot_delete_application_that_has_associated_emptying_information,en,Cannot delete Application that has associated Emptying Information.,application,validation,any,f,,
939,application.validation.cannot_delete_application_that_has_associated_sludge_collection_information,en,Cannot delete Application that has associated Sludge Collection Information.,application,validation,any,f,,
940,application.validation.cannot_delete_application_that_has_associated_feedback_information,en,Cannot delete Application that has associated Feedback Information.,application,validation,any,f,,
941,application.validation.failed_to_delete_application,en,Failed to delete Application.,application,validation,any,f,,
942,application.validation.application_deleted_successfully,en,Application deleted successfully.,application,validation,any,f,,
943,application.validation.failed_to_export_applications,en,Failed to export applications.,application,validation,any,f,,
944,application.validation.error_containment_already_has_running_application,en,Error! Containment already has running Application.,application,validation,any,f,,
945,application.validation.error_application_couldn't_be_created,en,Error! Application couldn't be created.,application,validation,any,f,,
946,application.validation.application_created_successfully,en,Application created successfully.,application,validation,any,f,,
947,application.validation.failed_to_update_application,en,Failed to update Application.,application,validation,any,f,,
948,application.validation.application_updated_successfully,en,Application updated successfully.,application,validation,any,f,,
949,application.validation.failed_to_generate_history,en,Failed to generate history.,application,validation,any,f,,
950,application.validation.error_getting_building_details,en,Error getting building details!,application,validation,any,f,,
951,emptying.validation.cannot_update_emptying_information_24_hours_after_creation_please_contact_sanitation_department_for_more_information,en,Cannot update Emptying Information 24 hours after creation. Please contact Sanitation Department for more information.,emptying,validation,any,f,,
952,emptying.validation.cannot_delete_emptying_that_has_assocaited_sludge_collection_information,en,Cannot delete Emptying that has assocaited Sludge Collection Information.,emptying,validation,any,f,,
953,emptying.validation.cannot_delete_emptying_that_has_assocaited_feedback_information,en,Cannot delete Emptying that has assocaited Feedback Information.,emptying,validation,any,f,,
954,emptying.validation.cannot_delete_emptying_information_24_hours_after_creation_please_contact_sanitation_department_for_more_information,en,Cannot delete Emptying Information 24 hours after creation. Please contact Sanitation Department for more information.,emptying,validation,any,f,,
955,emptying.validation.emptying_deleted_successfully,en,Emptying deleted successfully.,emptying,validation,any,f,,
956,emptying.validation.failed_to_delete_emptying,en,Failed to delete Emptying.,emptying,validation,any,f,,
957,emptying.validation.failed_to_export_emptyings,en,Failed to export emptyings.,emptying,validation,any,f,,
958,emptying.validation.emptying_service_is_already_done_for_application_id,en,Emptying service is already done for application ID:,emptying,validation,any,f,,
959,emptying.validation.emptying_updated_successfully,en,Emptying updated successfully.,emptying,validation,any,f,,
960,emptying.validation.failed_to_update_emptying,en,Failed to update Emptying.,emptying,validation,any,f,,
961,emptying.validation.error_invalid_image_format,en,Error! Invalid image format.,emptying,validation,any,f,,
962,emptying.validation.error_unable_to_save_images,en,Error! Unable to save images.,emptying,validation,any,f,,
963,emptying.validation.error_unable_to_save_house_image,en,Error! Unable to save house image.,emptying,validation,any,f,,
964,emptying.validation.emptying_service_details_created_successfully,en,Emptying Service Details created successfully.,emptying,validation,any,f,,
965,emptying.validation.error_emptying_couldn't_be_created,en,Error! Emptying couldn't be created.,emptying,validation,any,f,,
966,emptying.validation.images_already_exist,en,Images already exist!,emptying,validation,any,f,,
967,building_surveyor.message.building_survey_is_uploaded_successfully,en,Building Survey is uploaded successfully.,building surveyor,message,mobile,f,,
968,building_surveyor.label.buildings_data,en,Buildings Data,building surveyor,label,mobile,f,,
969,general.message.cancel,en,CANCEL,general,message,mobile,f,,
970,emptying.validation.the_service_receiver_contact_number_must_be_an_integer,en,The Service Receiver Contact Number must be an integer.,emptying,validation,any,f,,
971,emptying.validation.the_service_receiver_contact_number_must_be_positive_number,en,The Service Receiver Contact Number must be positive number.,emptying,validation,any,f,,
972,emptying.validation.the_sludge_volume_is_required,en,The Sludge Volume (m³) is required.,emptying,validation,any,f,,
973,emptying.validation.the_sludge_volume_must_be_numeric,en,The Sludge Volume (m³) must be numeric.,emptying,validation,any,f,,
974,emptying.validation.the_sludge_volume_contact_number_plate_must_be_at_least_0,en,The Sludge Volume (m³) Contact Number Plate must be at least 0.,emptying,validation,any,f,,
975,emptying_operator.label.choose_from_gallery,en,Choose from gallery,emptying operator,label,mobile,f,,
976,emptying.validation.the_desludging_vehicle_number_plate_must_be_an_integer,en,The Desludging Vehicle Number Plate must be an integer.,emptying,validation,any,f,,
977,sewer_page.label.clear,en,Clear,sewer page,label,mobile,f,,
978,emptying.validation.the_disposal_place_must_be_an_integer,en,The Disposal Place must be an integer.,emptying,validation,any,f,,
979,general.button.close,en,Close,general,button,mobile,f,,
980,emptying.validation.the_emptier_1_name_is_required,en,The Emptier 1 Name is required.,emptying,validation,any,f,,
981,emptying.validation.the_emptier_1_name_is_invalid,en,The Emptier 1 Name is invalid.,emptying,validation,any,f,,
982,emptying.validation.the_emptier_2_name_is_invalid,en,The Emptier 2 Name is invalid.,emptying,validation,any,f,,
983,emptying_operator.label.comments_(if_any),en,Comments (If any),emptying operator,label,mobile,f,,
984,building_surveyor.message.confirm_delete,en,Confirm delete,building surveyor,message,mobile,f,,
985,containments.label.containment_id,en,Containment ID,containments,label,mobile,f,,
986,emptying.validation.the_no_of_trips_is_required,en,The No. of Trips is required.,emptying,validation,any,f,,
987,emptying.validation.the_no_of_trips_must_be_an_integer,en,The No. of Trips must be an integer.,emptying,validation,any,f,,
988,emptying.validation.the_no_of_trips_must_be_at_least_1,en,The No. of Trips must be at least 1.,emptying,validation,any,f,,
989,emptying_operator.label.containment_id,en,Containment Id,emptying operator,label,mobile,f,,
990,emptying_operator.label.containment_size,en,Containment Size (m³),emptying operator,label,mobile,f,,
991,general.label.created_date,en,Created date,general,label,mobile,f,,
992,emptying.validation.the_house_image_is_required,en,The House Image is required.,emptying,validation,any,f,,
993,emptying_operator.label.date,en,Date,emptying operator,label,mobile,f,,
994,emptying.validation.the_house_image_must_be_a_file_of_type,en,"The House Image must be a file of type: jpeg, jpg.",emptying,validation,any,f,,
995,emptying.validation.the_house_image_should_not_be_greater_than_5_mb,en,The House Image should not be greater than 5 MB.,emptying,validation,any,f,,
996,emptying.validation.the_receipt_image_should_not_be_greater_than_5_mb,en,The Receipt Image should not be greater than 5 MB.,emptying,validation,any,f,,
997,general.label.date_from,en,Date From,general,label,mobile,f,,
998,general.label.date_to,en,Date To,general,label,mobile,f,,
999,emptying.validation.the_receipt_image_must_be_a_file_of_type,en,"The Receipt Image must be a file of type: jpeg, jpg.",emptying,validation,any,f,,
1000,sludge_collection.validation.sludge_collection_created_successfully,en,Sludge collection created successfully.,sludge_collection,validation,any,f,,
1001,sludge_collection.validation.cannot_edit_sludge_collection_information_24_hours_after_creation_please_contact_sanitation_department_for_support,en,Cannot edit Sludge Collection Information 24 hours after creation. Please contact Sanitation Department for support.,sludge_collection,validation,any,f,,
1002,sludge_collection.validation.sludge_collection_updated_successfully,en,Sludge collection updated successfully.,sludge_collection,validation,any,f,,
1003,sludge_collection.validation.cannot_delete_sludge_collection_information_24_hours_after_creation_please_contact_sanitation_department_for_support,en,Cannot delete Sludge Collection Information 24 hours after creation. Please contact Sanitation Department for support.,sludge_collection,validation,any,f,,
1004,sludge_collection.validation.failed_to_delete_sludge_collection,en,Failed to delete Sludge Collection.,sludge_collection,validation,any,f,,
1005,feedbacks.validation.cannot_update_feedback_not_created_by_current_user,en,Cannot update Feedback not created by current User.,feedbacks,validation,any,f,,
1006,feedbacks.validation.cannot_update_feedback_information_24_hours_after_creation_please_contact_sanitation_department_for_support,en,Cannot update Feedback Information 24 hours after creation. Please contact Sanitation Department for support.,feedbacks,validation,any,f,,
1007,feedbacks.validation.feedback_details_updated_successfully,en,Feedback Details updated successfully.,feedbacks,validation,any,f,,
1008,feedbacks.validation.feedback_for_this_application_already_exists,en,Feedback for this application already exists.,feedbacks,validation,any,f,,
1009,feedbacks.validation.feedback_details_created_successfully,en,Feedback Details Created Successfully.,feedbacks,validation,any,f,,
1010,feedbacks.validation.cannot_delete_feedback_not_created_by_current_user,en,Cannot delete Feedback not created by current User.,feedbacks,validation,any,f,,
1011,feedbacks.validation.cannot_delete_feedback_information_24_hours_after_creation_please_contact_sanitation_department_for_support,en,Cannot delete Feedback Information 24 hours after creation. Please contact Sanitation Department for support.,feedbacks,validation,any,f,,
1012,feedbacks.validation.feedback_deleted_successfully,en,Feedback deleted successfully.,feedbacks,validation,any,f,,
1013,feedbacks.validation.failed_to_delete_feedback,en,Failed to delete feedback.,feedbacks,validation,any,f,,
1014,help_desks.validation.help_desk_created_successfully,en,Help Desk created successfully!,help_desks,validation,any,f,,
1015,help_desks.validation.help_desk_updated_successfully,en,Help Desk updated successfully!,help_desks,validation,any,f,,
1016,help_desks.validation.failed_to_update_help_desks,en,Failed to update help desks.,help_desks,validation,any,f,,
1017,help_desks.validation.cannot_delete_help_desk_that_has_associated_user_information,en,Cannot delete Help Desk that has associated User Information.,help_desks,validation,any,f,,
1018,help_desks.validation.help_desk_deleted_successfully,en,Help Desk deleted successfully.,help_desks,validation,any,f,,
1019,help_desks.validation.failed_to_delete_help_desks,en,Failed to delete help desks.,help_desks,validation,any,f,,
1020,service_providers.validation.service_provider_created_successfully,en,Service Provider created successfully.,service_providers,validation,any,f,,
1021,service_providers.validation.failed_to_update_servie_provider,en,Failed to update Servie Provider.,service_providers,validation,any,f,,
1022,service_providers.validation.service_provider_updated_successfully,en,Service Provider updated successfully.,service_providers,validation,any,f,,
1023,service_providers.validation.service_provider_and_service_provider_admin_user_created_successfully,en,Service Provider and Service Provider - Admin User created successfully.,service_providers,validation,any,f,,
1024,service_providers.validation.cannot_delete_service_provider_that_has_associated_applicaiton_information,en,Cannot delete Service Provider that has associated Applicaiton Information.,service_providers,validation,any,f,,
1025,service_providers.validation.cannot_delete_service_provider_that_has_associated_user_information,en,Cannot delete Service Provider that has associated User Information.,service_providers,validation,any,f,,
1026,service_providers.validation.cannot_delete_service_provider_that_has_associated_desludging_vehicle_information,en,Cannot delete Service Provider that has associated Desludging Vehicle Information.,service_providers,validation,any,f,,
1027,service_providers.validation.cannot_delete_service_provider_that_has_associated_employee_information,en,Cannot delete Service Provider that has associated Employee Information.,service_providers,validation,any,f,,
1028,service_providers.validation.service_provider_deleted_successfully,en,Service Provider deleted successfully.,service_providers,validation,any,f,,
1029,service_providers.validation.failed_to_delete_service_provider,en,Failed to delete service provider.,service_providers,validation,any,f,,
1030,employee_information.validation.employee_information_created_successfully,en,Employee Information created successfully.,employee_information,validation,any,f,,
1031,employee_information.validation.employee_information_updated_successfully,en,Employee Information updated successfully.,employee_information,validation,any,f,,
1032,employee_information.validation.failed_to_update_employee_info,en,Failed to update Employee Info.,employee_information,validation,any,f,,
1033,employee_information.validation.cannont_delete_employee_information_that_has_associated_applicaiton_information,en,Cannont delete Employee Information that has associated Applicaiton Information.,employee_information,validation,any,f,,
1034,employee_information.validation.employee_information_deleted_successfully,en,Employee Information deleted successfully.,employee_information,validation,any,f,,
1035,employee_information.validation.failed_to_delete_employee_information,en,Failed to delete Employee Information.,employee_information,validation,any,f,,
1036,desludging_vehicles.validation.desludging_vehicle_created_successfully,en,Desludging Vehicle created successfully.,desludging_vehicles,validation,any,f,,
1037,desludging_vehicles.validation.desludging_vehicle_updated_successfully,en,Desludging Vehicle updated successfully.,desludging_vehicles,validation,any,f,,
1038,desludging_vehicles.validation.failed_to_update_desludging_vehicle,en,Failed to update Desludging Vehicle.,desludging_vehicles,validation,any,f,,
1039,desludging_vehicles.validation.cannot_delete_desludging_vehicle_that_has_associated_sludge_collection_information,en,Cannot delete Desludging Vehicle that has associated Sludge Collection Information.,desludging_vehicles,validation,any,f,,
1040,desludging_vehicles.validation.desludging_vehicle_deleted_successfully,en,Desludging Vehicle deleted successfully.,desludging_vehicles,validation,any,f,,
1041,desludging_vehicles.validation.failed_to_delete_desludging_vehicle,en,Failed to delete Desludging Vehicle.,desludging_vehicles,validation,any,f,,
1042,building.label.building_footprint,en,Building Footprint,building,label,any,f,,
1043,building.label.building_details,en,Building Details,building,label,any,f,,
1044,building.label.no_building_image,en,No Building Image,building,label,any,f,,
1045,building.label.water_supply_customer_id,en,Water Supply Customer ID,building,label,any,f,,
1046,building.label.water_supply_pipe_line_code,en,Water Supply Pipe Line Code,building,label,any,f,,
1047,building.label.lic_information,en,LIC Information,building,label,any,f,,
1048,building.label.view_image,en,View Image,building,label,any,f,,
1049,building.label.list_containment,en,List Containment,building,label,any,f,,
1050,building.label.building_history,en,Building History,building,label,any,f,,
1051,building.label.temporary_building_code,en,Temporary Building Code,building,label,any,f,,
1052,treatment_plants.heading.treament_plant_details,en,Treament Plant Details,treatment_plants,heading,any,f,,
1053,performance_efficiency_test.label.temperature,en,Temperature,performance_efficiency_test,label,any,f,,
1054,performance_efficiency_test.label.ph,en,pH,performance_efficiency_test,label,any,f,,
1055,performance_efficiency_test.label.cod,en,COD,performance_efficiency_test,label,any,f,,
1056,performance_efficiency_test.label.bod,en,BOD,performance_efficiency_test,label,any,f,,
1057,performance_efficiency_test.label.tss,en,TSS,performance_efficiency_test,label,any,f,,
1058,performance_efficiency_test.label.bod_compliance,en,BOD Compliance,performance_efficiency_test,label,any,f,,
1059,performance_efficiency_test.label.ecoli_compliance,en,Ecoli Compliance,performance_efficiency_test,label,any,f,,
1060,performance_efficiency_test.label.tss_compliance,en,TSS Compliance,performance_efficiency_test,label,any,f,,
1061,performance_efficiency_test.label.ph_range_compliance,en,pH Range Compliance,performance_efficiency_test,label,any,f,,
1062,containments.heading.containment_details,en,Containment Details,containments,heading,any,f,,
1063,containments.label.pit_diameter,en,Pit Diameter (m),containments,label,any,f,,
1064,containments.label.pit_depth,en,Pit Depth (m),containments,label,any,f,,
1065,containments.label.emptied_status,en,Emptied Status,containments,label,any,f,,
1066,containments.label.last_emptied_date,en,Last Emptied Date,containments,label,any,f,,
1067,containments.label.next_empting_date,en,Next Empting Date,containments,label,any,f,,
1068,containments.label.number_of_times_emptied,en,Number of Times Emptied,containments,label,any,f,,
1069,containments.label.responsible_bin,en,Responsible BIN,containments,label,any,f,,
1070,containments.heading.edit_containment,en,Edit Containment,containments,heading,any,f,,
1071,containments.heading.containment_type_change_history,en,Containment Type Change History,containments,heading,any,f,,
1072,containments.heading.containment_history,en,Containment History,containments,heading,any,f,,
1073,dashboard.charts.building_connections_to_sanitation_system_types,en,Building Connections to Sanitation System Types,dashboard,charts,any,f,,
1074,dashboard.charts.wardwise_revenue_collected_from_emptying_services,en,Wardwise Revenue Collected from Emptying Services,dashboard,charts,any,f,,
1075,dashboard.charts.property_tax_payment_due_across_time_periods,en,Property Tax Payment Due Across Time Periods,dashboard,charts,any,f,,
1076,dashboard.charts.distribution_of_water_supply_payment_dues,en,Distribution of Water Supply Payment Dues,dashboard,charts,any,f,,
1077,dashboard.charts.distribution_of_water_supply_service_by_ward,en,Distribution of Water Supply Service by Ward,dashboard,charts,any,f,,
1078,dashboard.charts.outstanding_payments_for_solid_waste_management_services,en,Outstanding Payments for Solid Waste Management Services,dashboard,charts,any,f,,
1079,dashboard.charts.distribution_of_swm_service_by_ward,en,Distribution of SWM Service by Ward,dashboard,charts,any,f,,
1080,building.heading.containments_connected_to_building,en,Containments Connected to Building,building,heading,any,f,,
1081,containments.label.building_connected_to_containment,en,Building Connected to Containment,containments,label,any,f,,
1082,building.label.add_containment_to_building,en,Add Containment to Building,building,label,any,f,,
1083,emptying.label.disposal_place,en,Disposal Place,emptying,label,any,f,,
1084,emptying.label.driver_name,en,Driver Name,emptying,label,any,f,,
1085,emptying.label.emptier_1_name,en,Emptier 1 Name,emptying,label,any,f,,
1086,emptying.label.emptier_2_name,en,Emptier 2 Name,emptying,label,any,f,,
1087,emptying.label.start_time,en,Start Time,emptying,label,any,f,,
1088,emptying.label.end_time,en,End Time,emptying,label,any,f,,
1089,emptying.label.no_of_trips,en,No. of Trips,emptying,label,any,f,,
1090,emptying.label.receipt_number,en,Receipt Number,emptying,label,any,f,,
1091,emptying.label.receipt_image,en,Receipt Image,emptying,label,any,f,,
1092,emptying.label.comments,en,Comments (if any),emptying,label,any,f,,
1093,emptying.label.emptied_date_from,en,Emptied Date From,emptying,label,any,f,,
1094,emptying.label.emptied_date_to,en,Emptied Date To,emptying,label,any,f,,
1095,emptying.label.desludging_vehicle_license_plate,en,Desludging Vehicle License Plate,emptying,label,any,f,,
1096,emptying.label.uploaded_by,en,Uploaded By,emptying,label,any,f,,
1097,emptying.label.emptying_history,en,Emptying History,emptying,label,any,f,,
1098,waterborne_hotspot.heading.waterborne_hotspot_history,en,Waterborne Hotspot History,waterborne_hotspot,heading,any,f,,
1099,waterborne_cases_information.heading.waterborne_cases_information_history,en,Waterborne Cases Information History,waterborne_cases_information,heading,any,f,,
1100,general.button.filter,en,Filter,general,button,any,f,,
1101,general.button.upload_web,en,Upload,general,button,any,f,,
1102,cwis.label.enter_value_in_percent,en,Enter value in percent.,cwis,label,any,f,,
1103,auth.validation.validation_error,en,Validation Error!,Auth,validation,any,f,,
1104,auth.validation.email_&_password_do_not_match_our_records,en,Email & Password do not match our records.,Auth,validation,any,f,,
1105,auth.validation.unauthorized_you_do_not_have_the_required_role_to_log_in,en,Unauthorized: You do not have the required role to log in.,Auth,validation,any,f,,
1106,auth.validation.user_logged_in_successfully,en,User Logged In Successfully.,Auth,validation,any,f,,
1107,auth.validation.logged_out_successfully,en,Logged out successfully.,Auth,validation,any,f,,
1108,building_survey.validation.no_building_codes_found,en,No building codes found.,building_survey,validation,any,f,,
1109,building_survey.validation.building_codes_fetched_successfully,en,Building codes fetched successfully.,building_survey,validation,any,f,,
1110,building_survey.validation.no_sewer_codes_found,en,No sewer codes found.,building_survey,validation,any,f,,
1111,building_survey.validation.sewer_codes_fetched_successfully,en,Sewer codes fetched successfully.,building_survey,validation,any,f,,
1112,building_survey.validation.kml_file_is_required,en,Kml file is required.,building_survey,validation,any,f,,
1113,building_survey.validation.kml_file_couldnot_be_stored,en,Kml file couldn\'t be stored.,building_survey,validation,any,f,,
1114,building_survey.validation.kml_file_is_invalid_polygons_shouldnot_self_intersect,en,Kml file is invalid. Polygons shouldn\'t self-intersect.,building_survey,validation,any,f,,
1115,building_survey.validation.wms_layer_for,en,WMS layer for:,building_survey,validation,any,f,,
1116,emptying.validation.applications_retrieved_successfully,en,Applications retrieved successfully.,emptying,validation,any,f,,
1117,emptying.validation.vacutugs,en,Vacutugs,emptying,validation,any,f,,
1118,emptying.validation.drivers,en,Drivers,emptying,validation,any,f,,
1119,emptying.validation.emptiers,en,Emptiers,emptying,validation,any,f,,
1120,emptying.validation.emptying_service_is_already_done_for_this_application,en,Emptying service is already done for this application.,emptying,validation,any,f,,
1121,emptying.validation.error_receipt_image_is_required_and_must_be_in_a_valid_format,en,Error! Receipt image is required and must be in a valid format.,emptying,validation,any,f,,
1122,emptying.validation.error_saving_receipt_image,en,Error saving receipt image.,emptying,validation,any,f,,
1123,emptying.validation.emptying_service_saved_successfully,en,Emptying service saved successfully.,emptying,validation,any,f,,
1124,sewer_connection.validation.sewer_connection_is_uploaded_successfully,en,Sewer Connection is uploaded successfully.,sewer_connection,validation,any,f,,
1125,sewer_connection.validation.building_not_found,en,Building Not Found,sewer_connection,validation,any,f,,
1126,sewer_connection.validation.sewer_line_not_found,en,Sewer line not found.,sewer_connection,validation,any,f,,
1127,sewer_connection.validation.no_data_found_for_the_given_filters,en,No data found for the given filters.,sewer_connection,validation,any,f,,
1128,road_network.heading.road_network_history,en,Road Network History,road_network,heading,any,f,,
1129,sewer_network.heading.sewer_network_history,en,Sewer Network History,sewer_network,heading,any,f,,
1130,water_supply_network.heading.water_supply_network_history,en,Water Supply Network History,water_supply_network,heading,any,f,,
1131,cwis.validation.this_will_be_enabled_in_january,en,This will be enabled in January,cwis,validation,any,f,,
1132,apiservice.validation.no_application_found_for_id,en,No Application found for ID:,apiservice,validation,any,f,,
1133,apiservice.validation.containment_details_for_application_id,en,Containment details for application ID:,apiservice,validation,any,f,,
1134,apiservice.validation.no_containment_application_found_with_application_id,en,No containment/application found with application ID:,apiservice,validation,any,f,,
1135,building_survey.validation.invalid_file_format_the_file_must_be_a_kml_file,en,Invalid file format. The file must be a .kml file.,building_survey,validation,any,f,,
1136,general.validation.file_must_be_kml_format,en,File must be kml format.,general,validation,any,f,,
1137,general.validation.file_must_be_csv_format,en,File must be csv format.,general,validation,any,f,,
1138,waterborne_hotspot.label.choose_infected_disease,en,Choose Infected Disease,waterborne_hotspot,label,any,f,,
1139,buildings.heading.building_connected_to_toilet,en,Building Connected to Toilet:,building,heading,any,f,,
1140,containments.label.containment_construction_date_to,en,Containment Construction Date To,containments,label,any,f,,
1141,containments.label.containment_construction_date_from,en,Containment Construction Date From,containments,label,any,f,,
1142,containments.label.containment_volume_from_m,en,Containment Volume From (m³),containments,label,any,f,,
1143,containments.label.containment_volume_to_m,en,Containment Volume To (m³),containments,label,any,f,,
1144,containments.heading.add_containment,en,Add Containment,containments,heading,any,f,,
1145,containments.label.tank_width,en,Tank Width (m),containments,label,any,f,,
1146,containments.label.containment_volume,en,Containment Volume (m³),containments,label,any,f,,
1147,low_income_community.heading.low_income_community_history,en,Low Income Community History,low_income_community,heading,any,f,,
1148,users.validation.passwords_must_match,en,Passwords must match.,users,validation,any,f,,
1149,buildings.validation.building_footprint_file_must_be_kml_format,en,Building Footprint (KML) file must be kml format.,building,validation,any,f,,
1150,users.label.last_login_at,en,Last Login At,users,label,any,f,,
1151,users.label.last_login_ip,en,Last Login IP,users,label,any,f,,
1152,sewer.label.diameter,en,Diameter (mm),sewer page,label,any,f,,
1153,employee_information.button.add_employee_information,en,Add Employee Information,employee_information,button,any,f,,
1154,sludge_collection.label.sludge_volume,en,Sludge Volume,sludge_collection,label,any,f,,
1155,sludge_collection.label.entry_time,en,Entry Time,sludge_collection,label,any,f,,
1156,sludge_collection.label.exit_time,en,Exit Time,sludge_collection,label,any,f,,
1157,sludge_collection.heading.sludge_collection_history,en,Sludge Collection History,sludge_collection,heading,any,f,,
1158,feedbacks.label.are_you_satisfied_with_the_service_quality,en,Are you satisfied with the Service Quality?,feedbacks,label,any,f,,
1159,feedbacks.label.did_the_sanitation_workers_wear_ppe_during_desludging,en,Did the sanitation workers wear PPE during desludging?,feedbacks,label,any,f,,
1160,general.label.comments,en,Comments,general,label,any,f,,
1161,general.message.delete,en,DELETE,general,message,mobile,f,,
1162,help_desks.heading.help_desk_history,en,Help Desk History,help_desks,heading,any,f,,
1163,application.label.owner_details,en,Owner Details,application,label,any,f,,
1164,application.label.applicant_details,en,Applicant Details,application,label,any,f,,
1165,application.label.household_details,en,Household Details,application,label,any,f,,
1166,application.heading.edit_application,en,Edit Application,application,heading,any,f,,
1167,application.label.same_as_owner,en,Same as Owner,application,label,any,f,,
1168,application.heading.application_details,en,Application Details,application,heading,any,f,,
1169,application.heading.application_history,en,Application History,application,heading,any,f,,
1170,application.label.month,en,Month,application,label,any,f,,
1171,application.button.export_to_pdf,en,Export to PDF,application,button,any,f,,
1172,application.hover.edit_sludge_collection_details,en,Edit Sludge Collection Details,application,hover,any,f,,
1173,application.hover.add_emptying_service_details,en,Add Emptying Service Details,application,hover,any,f,,
1174,application.hover.view_application_details,en,View Application Details,application,hover,any,f,,
1175,application.hover.edit_sludge_collection_detials,en,Edit Sludge Collection Detials,application,hover,any,f,,
1176,application.hover.view_sludge_collection_detials,en,View Sludge Collection Detials,application,hover,any,f,,
1177,application.hover.edit_feedback_details,en,Edit Feedback Details,application,hover,any,f,,
1178,application.hover.view_feedback_details,en,View Feedback Details,application,hover,any,f,,
1179,emptying.label.service_receiver_name,en,Service Receiver Name,emptying,label,any,f,,
1180,emptying.label.service_receiver_gender,en,Service Receiver Gender,emptying,label,any,f,,
1181,emptying.label.service_receiver_contact_number,en,Service Receiver Contact Number,emptying,label,any,f,,
1182,emptying.label.reason_for_emptying,en,Reason for Emptying,emptying,label,any,f,,
1183,emptying.label.containment_construction_year,en,Containment Construction Year,emptying,label,any,f,,
1184,cwis.label.some_indicators_have_been_calculated_as,en,Some indicators have been calculated as,cwis,label,any,f,,
1185,cwis.label.or,en,or,cwis,label,any,f,,
1186,cwis.label.this_happens_due_to_one_or_more_of_the_following_reasons,en,This happens due to one or more of the following reasons,cwis,label,any,f,,
1187,cwis.label.occurs_when_the_numerator_or_denominator_is_missing,en,Occurs when the numerator or denominator is missing,cwis,label,any,f,,
1188,cwis.label.happens_when,en,Happens when,cwis,label,any,f,,
1189,cwis.label.the_denominator_is_zero,en,The denominator is zero,cwis,label,any,f,,
1190,cwis.label.both_the_numerator_and_denominator_are_zero,en,Both the numerator and denominator are zero,cwis,label,any,f,,
1191,cwis.label.not_a_number,en,(Not a Number),cwis,label,any,f,,
1192,cwis.label.not_available,en,(Not Available),cwis,label,any,f,,
1193,cwis.label.division_by_zero,en,(division by zero),cwis,label,any,f,,
1194,cwis.label.undefined_result,en,(undefined result),cwis,label,any,f,,
1195,employee_information.label.driving_license_number,en,Driving License Number,employee_information,label,any,f,,
1196,employee_information.label.designation,en,Designation,employee_information,label,any,f,,
1197,employee_information.label.date_of_birth,en,Date of Birth,employee_information,label,any,f,,
1198,employee_information.label.license_issue_date,en,License Issue Date,employee_information,label,any,f,,
1199,employee_information.label.training_received,en,Training Received,employee_information,label,any,f,,
1200,employee_information.label.job_start_date,en,Job Start Date,employee_information,label,any,f,,
1201,employee_information.label.job_end_date,en,Job End Date,employee_information,label,any,f,,
1202,employee_information.heading.employee_information_history,en,Employee Information History,employee_information,heading,any,f,,
1203,desludging_vehicles.heading.desludging_vehicle_history,en,Desludging Vehicle History,desludging_vehicles,heading,any,f,,
1204,desludging_vehicles.label.capacity,en,Capacity,desludging_vehicles,label,any,f,,
1205,desludging_vehicles.label.width,en,Width,desludging_vehicles,label,any,f,,
1206,map.label.add_road_network,en,Add Road Network,map,label,any,f,,
1207,map.label.hose_length,en,Hose Length,map,label,any,f,,
1208,map.label.buildings_close_to_water_bodies,en,Buildings Close to Water Bodies,map,label,any,f,,
1209,map.label.buffer_distance,en,Buffer Distance,map,label,any,f,,
1210,map.button.export_to,en,Export to,map,button,any,f,,
1211,map.label.application_only,en,Application only,map,label,any,f,,
